ID,condition,trial,object,choice
1,BB,main,A,0.86
2,BB,main,B,0.793
3,BB,main,C,0.793
4,BB,main,A,0.86
5,BB,main,B,0.793
6,BB,main,C,0.793
7,BB,main,A,0.86
8,BB,main,B,0.793
9,BB,main,C,0.793
10,BB,main,A,0.86
11,BB,main,B,0.793
12,BB,main,C,0.793
13,BB,main,A,0.86
14,BB,main,B,0.793
15,BB,main,C,0.793
16,BB,main,A,0.86
17,BB,main,B,0.793
18,BB,main,C,0.793
19,BB,main,A,0.86
20,BB,main,B,0.793
21,BB,main,C,0.793
22,BB,main,A,0.86
23,BB,main,B,0.793
24,BB,main,C,0.793
25,BB,main,A,0.86
26,BB,main,B,0.793
27,BB,main,C,0.793
28,BB,main,A,0.86
29,BB,main,B,0.793
30,BB,main,C,0.793
31,BB,main,A,0.86
32,BB,main,B,0.793
33,BB,main,C,0.793
34,BB,main,A,0.86
35,BB,main,B,0.793
36,BB,main,C,0.793
37,BB,main,A,0.86
38,BB,main,B,0.793
39,BB,main,C,0.793
40,BB,main,A,0.86
41,BB,main,B,0.793
42,BB,main,C,0.793
43,BB,main,A,0.86
44,BB,main,B,0.793
45,BB,main,C,0.793
46,BB,main,A,0.86
47,BB,main,B,0.793
48,BB,main,C,0.793
49,BB,control,A,0.793
50,BB,control,B,0.793
51,BB,control,C,0.793
52,BB,control,D,0.793
53,BB,control,A,0.793
54,BB,control,B,0.793
55,BB,control,C,0.793
56,BB,control,D,0.793
57,BB,control,A,0.793
58,BB,control,B,0.793
59,BB,control,C,0.793
60,BB,control,D,0.793
61,BB,control,A,0.793
62,BB,control,B,0.793
63,BB,control,C,0.793
64,BB,control,D,0.793
65,BB,control,A,0.793
66,BB,control,B,0.793
67,BB,control,C,0.793
68,BB,control,D,0.793
69,BB,control,A,0.793
70,BB,control,B,0.793
71,BB,control,C,0.793
72,BB,control,D,0.793
73,BB,control,A,0.793
74,BB,control,B,0.793
75,BB,control,C,0.793
76,BB,control,D,0.793
77,BB,control,A,0.793
78,BB,control,B,0.793
79,BB,control,C,0.793
80,BB,control,D,0.793
81,BB,control,A,0.793
82,BB,control,B,0.793
83,BB,control,C,0.793
84,BB,control,D,0.793
85,BB,control,A,0.793
86,BB,control,B,0.793
87,BB,control,C,0.793
88,BB,control,D,0.793
89,BB,control,A,0.793
90,BB,control,B,0.793
91,BB,control,C,0.793
92,BB,control,D,0.793
93,BB,control,A,0.793
94,BB,control,B,0.793
95,BB,control,C,0.793
96,BB,control,D,0.793
97,BB,control,A,0.793
98,BB,control,B,0.793
99,BB,control,C,0.793
100,BB,control,D,0.793
101,BB,control,A,0.793
102,BB,control,B,0.793
103,BB,control,C,0.793
104,BB,control,D,0.793
105,BB,control,A,0.793
106,BB,control,B,0.793
107,BB,control,C,0.793
108,BB,control,D,0.793
109,BB,control,A,0.793
110,BB,control,B,0.793
111,BB,control,C,0.793
112,BB,control,D,0.793
113,ISO,main,A,0.369
114,ISO,main,B,0.793
115,ISO,main,C,0.793
116,ISO,main,A,0.369
117,ISO,main,B,0.793
118,ISO,main,C,0.793
119,ISO,main,A,0.369
120,ISO,main,B,0.793
121,ISO,main,C,0.793
122,ISO,main,A,0.369
123,ISO,main,B,0.793
124,ISO,main,C,0.793
125,ISO,main,A,0.369
126,ISO,main,B,0.793
127,ISO,main,C,0.793
128,ISO,main,A,0.369
129,ISO,main,B,0.793
130,ISO,main,C,0.793
131,ISO,main,A,0.369
132,ISO,main,B,0.793
133,ISO,main,C,0.793
134,ISO,main,A,0.369
135,ISO,main,B,0.793
136,ISO,main,C,0.793
137,ISO,main,A,0.369
138,ISO,main,B,0.793
139,ISO,main,C,0.793
140,ISO,main,A,0.369
141,ISO,main,B,0.793
142,ISO,main,C,0.793
143,ISO,main,A,0.369
144,ISO,main,B,0.793
145,ISO,main,C,0.793
146,ISO,main,A,0.369
147,ISO,main,B,0.793
148,ISO,main,C,0.793
149,ISO,main,A,0.369
150,ISO,main,B,0.793
151,ISO,main,C,0.793
152,ISO,main,A,0.369
